baseline,corrupted_baseline,edges,edges_EAP,loss_EAP,edges_EAP-IG,loss_EAP-IG,edges_EAP-IG-KL,loss_EAP-IG-KL
0.880922257900238,-3.2205770015716553,30,21,-2.2080979347229004,24,-1.7902199029922485,23,-2.0899970531463623
0.880922257900238,-3.2205770015716553,40,28,-1.8486664295196533,32,-1.3849161863327026,33,-1.719460129737854
0.880922257900238,-3.2205770015716553,50,37,-1.3917869329452515,42,-1.05093514919281,38,-1.4589869976043701
0.880922257900238,-3.2205770015716553,60,48,-1.2443629503250122,50,-0.9270707964897156,47,-1.1548455953598022
0.880922257900238,-3.2205770015716553,70,59,-1.1007626056671143,61,-0.5134468674659729,60,-1.064857840538025
0.880922257900238,-3.2205770015716553,80,69,-0.9887652397155762,72,-0.3472021520137787,70,-0.9633195996284485
0.880922257900238,-3.2205770015716553,90,75,-0.9409947395324707,80,-0.3473542630672455,81,-0.9173927903175354
0.880922257900238,-3.2205770015716553,100,88,-0.9602273106575012,94,-0.2583600580692291,89,-0.8686423301696777
0.880922257900238,-3.2205770015716553,200,184,0.0611693412065506,188,-0.19188730418682098,181,-0.0643964409828186
0.880922257900238,-3.2205770015716553,300,284,0.26168376207351685,279,0.2660963535308838,267,0.20202341675758362
0.880922257900238,-3.2205770015716553,400,379,0.011133468709886074,365,0.41971489787101746,358,0.21108335256576538
0.880922257900238,-3.2205770015716553,500,469,0.13323532044887543,460,0.4896070063114166,451,0.5887759327888489
0.880922257900238,-3.2205770015716553,600,569,0.11779608577489853,560,0.5465340614318848,536,0.6131434440612793
0.880922257900238,-3.2205770015716553,700,668,0.591445803642273,677,0.5031232833862305,627,0.6728348731994629
0.880922257900238,-3.2205770015716553,800,760,0.6527522802352905,764,0.4732862114906311,716,0.669689953327179
0.880922257900238,-3.2205770015716553,900,852,0.7293622493743896,859,0.4947109520435333,803,0.5574186444282532
0.880922257900238,-3.2205770015716553,1000,945,0.7175207734107971,956,0.5013741254806519,921,0.5336979627609253
